submission_id,RT,age,comments,condition,correctness,education,endTime,expected,experiment_id,gender,item,key_pressed,languages,number_of_items,picture,startDate,startTime,timeSpent,trial_number,trial_type
2686,8206,25,,color,incorrect,right,1629383070313,target,256,female,5,s,"Low German, German",15,images/practice/feature/F_C_15_T_5_Xblue_TRAIN.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,1,practice
2686,8330,25,,shape,incorrect,right,1629383070313,no target,256,female,8,l,"Low German, German",30,images/practice/feature/F_C_30_NT_1_TRAIN.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,2,practice
2686,2380,25,,color,correct,right,1629383070313,target,256,female,1,l,"Low German, German",1,images/practice/feature/F_C_1_T_1_Tblue_TRAIN.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,3,practice
2686,2078,25,,shape,correct,right,1629383070313,target,256,female,7,l,"Low German, German",30,images/practice/feature/F_C_30_T_8_Sgreen_TRAIN.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,4,practice
2686,3379,25,,color,correct,right,1629383070313,no target,256,female,6,s,"Low German, German",15,images/practice/feature/F_C_15_NT_TRAIN.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,5,practice
2686,2037,25,,color,correct,right,1629383070313,no target,256,female,2,s,"Low German, German",1,images/practice/feature/F_1_NT_TRAIN.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,6,practice
2686,1470,25,,shape,correct,right,1629383070313,no target,256,female,4,s,"Low German, German",5,images/practice/feature/F_5_NT_TRAIN.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,7,practice
2686,1074,25,,shape,correct,right,1629383070313,target,256,female,3,l,"Low German, German",5,images/practice/feature/F_5_T_3_Sbrown_TRAIN.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,8,practice
2686,2641,25,,conjunction,correct,right,1629383070313,no target,256,female,22,s,"Low German, German",15,images/practice/conjunction/C_15_NT_TRAIN.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,1,practice
2686,1862,25,,conjunction,correct,right,1629383070313,target,256,female,23,l,"Low German, German",30,images/practice/conjunction/C_30_T_TRAIN.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,2,practice
