submission_id,RT,age,comments,condition,correctness,education,endTime,expected,experiment_id,gender,item,key_pressed,languages,number_of_items,picture,startDate,startTime,timeSpent,trial_number,trial_type
2646,1579,26,What a delight!,shape,correct,right,1629220874685,no target,256,male,4,s,German,5,images/practice/feature/F_5_NT_TRAIN.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,1,practice
2646,1122,26,What a delight!,color,correct,right,1629220874685,target,256,male,1,l,German,1,images/practice/feature/F_C_1_T_1_Tblue_TRAIN.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,2,practice
2646,1345,26,What a delight!,color,correct,right,1629220874685,target,256,male,5,l,German,15,images/practice/feature/F_C_15_T_5_Xblue_TRAIN.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,3,practice
2646,1614,26,What a delight!,shape,correct,right,1629220874685,target,256,male,7,l,German,30,images/practice/feature/F_C_30_T_8_Sgreen_TRAIN.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,4,practice
2646,1393,26,What a delight!,color,correct,right,1629220874685,no target,256,male,6,s,German,15,images/practice/feature/F_C_15_NT_TRAIN.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,5,practice
2646,1202,26,What a delight!,shape,correct,right,1629220874685,target,256,male,3,l,German,5,images/practice/feature/F_5_T_3_Sbrown_TRAIN.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,6,practice
2646,1340,26,What a delight!,color,correct,right,1629220874685,no target,256,male,2,s,German,1,images/practice/feature/F_1_NT_TRAIN.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,7,practice
2646,1654,26,What a delight!,shape,correct,right,1629220874685,no target,256,male,8,s,German,30,images/practice/feature/F_C_30_NT_1_TRAIN.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,8,practice
2646,1377,26,What a delight!,conjunction,correct,right,1629220874685,no target,256,male,22,s,German,15,images/practice/conjunction/C_15_NT_TRAIN.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,1,practice
2646,1382,26,What a delight!,conjunction,correct,right,1629220874685,target,256,male,21,l,German,15,images/practice/conjunction/C_15_T_TRAIN.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,2,practice
