submission_id,RT,age,comments,condition,correctness,education,endTime,expected,experiment_id,gender,item,key_pressed,languages,number_of_items,picture,startDate,startTime,timeSpent,trial_number,trial_type
3221,3919,23,loved it!,conjunction,correct,right,1630351317772,no target,256,female,18,s,German,1,images/practice/conjunction/C_1_NT_TRAIN.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,1,practice
3221,1380,23,loved it!,conjunction,correct,right,1630351317772,target,256,female,23,l,German,30,images/practice/conjunction/C_30_T_TRAIN.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,2,practice
3221,1429,23,loved it!,conjunction,correct,right,1630351317772,target,256,female,21,l,German,15,images/practice/conjunction/C_15_T_TRAIN.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,3,practice
3221,1691,23,loved it!,conjunction,correct,right,1630351317772,no target,256,female,22,s,German,15,images/practice/conjunction/C_15_NT_TRAIN.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,4,practice
3221,1482,23,loved it!,conjunction,correct,right,1630351317772,target,256,female,17,l,German,1,images/practice/conjunction/C_1_T_TRAIN.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,5,practice
3221,1567,23,loved it!,conjunction,correct,right,1630351317772,no target,256,female,20,s,German,5,images/practice/conjunction/C_5_NT_TRAIN.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,6,practice
3221,1384,23,loved it!,conjunction,correct,right,1630351317772,target,256,female,19,l,German,5,images/practice/conjunction/C_5_T_TRAIN.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,7,practice
3221,3111,23,loved it!,conjunction,correct,right,1630351317772,no target,256,female,24,s,German,30,images/practice/conjunction/C_30_NT_TRAIN.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,8,practice
3221,1379,23,loved it!,shape,correct,right,1630351317772,target,256,female,7,l,German,30,images/practice/feature/F_C_30_T_8_Sgreen_TRAIN.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,1,practice
3221,1049,23,loved it!,color,incorrect,right,1630351317772,target,256,female,1,s,German,1,images/practice/feature/F_C_1_T_1_Tblue_TRAIN.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,2,practice
3221,1871,23,loved it!,color,correct,right,1630351317772,no target,256,female,6,s,German,15,images/practice/feature/F_C_15_NT_TRAIN.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,3,practice
3221,1323,23,loved it!,shape,correct,right,1630351317772,no target,256,female,4,s,German,5,images/practice/feature/F_5_NT_TRAIN.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,4,practice
